"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"TTC Phong Dien Solar Farm (Điện mặt trời TTC Phong Điền)",Solar,Operational,35,2018,"Vietnam; Japan","Sharp Corporation, TTC Group",IFC,IFC,," ",Vietnam,"Thừa Thiên Huế","Phong Điền"
"TTY Cambodia Biogas Project",Waste,Operational,4.05,2008,Cambodia,"T.T.Y Agricultural Plant Development and IMEX Co. Ltd, Carbon Bridge Pte Ltd",,,," ",Cambodia,"Tbong Khmum",Memot
"Tuamromtamteum Electricity Factory (Salavan Province)",Hydro,"Under Construction",15,2018,Laos,"Chungyang EC Simuang Lao Company",,,," ",Laos,Saravan,Saravane
"Tuan An (Nhà máy điện mặt trời hòa lưới Tuấn Ân) 10 ha",Solar,Operational,10,2019,Vietnam,"Cty CP Điện mặt trời Tuấn Ân",,,," ",Vietnam,"Khánh Hòa","Cam Ranh"
Tukahe,Hydro,Operational,165,2006,China,"Yunnan Datang International Lixianjiang Hydropower Development Company Ltd.; 大唐国际发电股份有限公司、北京国电安融能源投资有限公司和思茅市国有资产经营有限责任公司，股权比例分别为70 PCT、25 PCT和5 PCT",China,,China," ",China,Yunnan,Pu'er
Tuoba,Hydro,"Under Construction",1400,,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Dêqên Tibetan"
"Tuy Phong (Nhà máy điện mặt trời Tuy Phong - 50 ha)",Solar,Operational,30,2019,Vietnam,"Power Plus Vietnam Company",,,Japan,"Jinko Solar, Power Electronic, Daihen",Vietnam,"Bình Thuận","Tuy Phong"
"Tuy Phong I (Điện gió Tuy Phong, giai đoạn I)",Wind,Operational,30,2008,Vietnam,"Công ty cổ phần Năng lượng tái tạo Việt Nam (REVN)",,,," ",Vietnam,"Bình Thuận","Tuy Phong"
"Tuy Phong II (Điện gió Tuy Phong, giai đoạn II)",Wind,Planned,90,,Vietnam,"Công ty cổ phần Năng lượng tái tạo Việt Nam (REVN)",,,," ",Vietnam,"Bình Thuận","Tuy Phong"
"Tuyên Quang Hydro",Hydro,Operational,342,2007,Vietnam,EVN,,,," ",Vietnam,"Tuyên Quang","Nà Hang"
"UB Tapioca Starch Wastewater Treatment Project",Waste,Unknown,1.904,,Thailand,"Ubon Biogas Co. Ltd.",,,"United Kingdom","Camco Carbon Ltd.",Thailand,"Ubon Ratchathani","K. Na Yia"
"Ubol Ratana Dam",Hydro,Operational,25.2,,Thailand,EGAT,,,," ",Thailand,"Khon Kaen","Ubol Ratana"
"Ubol Ratana Floating Solar",Solar,Planned,24,2023,Thailand,EGAT,,,,,Thailand,"Khon Kaen","Ubol Ratana"
"Ubon Ratchathani - SPP4 Solar Power Plant",Solar,Operational,6,,Thailand,"SPP Four Co Ltd (SPP 4)",ADB,ADB,Sweden,"Swedish Energy Agency",Thailand,"Ubon Ratchathani","Det Udom"
"Ubon Ratchathani Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,"Ubon Ratchathani","Muang Ubon Ratchatani"
"Udon Thani - BSP 2 Solar Power Plant",Solar,Operational,2,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Udon Thani",Phen
"Udon Thani - SPCG Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power (Udon Thani 1) Company Limited",,,," ",Thailand,"Udon Thani","Ban Phu"
"Univanich Lamthap Biomass Project",Biomass,Unknown,1.2,,Thailand,"Univanich Palm Oil Public Co. Ltd",,,," ",Thailand,Krabi,"Lam Thap"
"Univanich Lamthap POME Biogas Project",Biomass,Unknown,0.952,,Thailand,"Univanich Palm Oil Public Co. Ltd; Carbon Bridge Pte Ltd",,,," ",Thailand,Krabi,"Lam Thap"
"Univanich Siam Biogas to Energy Project",Waste,Unknown,0.952,,Thailand,"Univanich Oalm Oil Public Co. Ltd.",,,"United Kingdom","EcoSecurities International Ltd.",Thailand,Krabi,"Ao Luk"
"Univanich TOPI Biogas Project",Waste,Unknown,2.856,,Thailand,"Univanich Palm Oil Public Co. Ltd.",,,Thailand,"Carbon Bridge Pte Ltd",Thailand,"Surat Thani",Prasaeng
"Uong Bi Extention I (Nhiệt điện Uông Bí I mở rộng)",Coal,Operational,300,2007,Vietnam,"Vietnam Electricity (EVN)",China,"China Exim Bank (China)",," ",Vietnam,"Quảng Ninh","Uông Bí"
"Uong Bi Extention II (Nhiệt điện Uông Bí II mở rộng)",Coal,Operational,330,2014,Vietnam,"Vietnam Electricity (EVN)",China,"China Exim Bank (China)",China,"China Chengda Engineering Corporation. (China)",Vietnam,"Quảng Ninh","Uông Bí"
"Uong Bi I (Nhiệt điện Uông Bí I)",Coal,Operational,105,1976,Vietnam,"Vietnam Electricity (EVN)",,,," ",Vietnam,"Quảng Ninh","Uông Bí"
"UPOIC Wastewater Treatment for Energy Generation",Waste,Unknown,1.904,,Thailand,"United Palm Oil industriy PCL",,,," ",Thailand,Krabi,"Khao Phanom"
"Upper Prek Ter",Hydro,Planned,15,,,,,,," ",Cambodia,Mondulkiri,"Ou Reang"
"Upper Sesan IV",Hydro,Planned,350,,,,,,," ",Cambodia,"Ratanak Kiri","Ou Ya Dav"
"Upper Stung Russei Chrum",Hydro,Planned,32,,,,,,," ",Cambodia,"Koh Kong","Thma Bang"
Utai,Gas,Operational,1600,2015,Japan,"Gulf JP UT","Japan; ADB","JBIC; ADB",," ",Thailand,"Phra Nakhon Si Ayutthaya",Uthai
"Uthaithani Bio Energy Co.,Ltd",Biomass,Unknown,16,,Thailand,"Uthaithani Bio Energy Co., Ltd.",,,," ",Thailand,"Uthai Thani","Sawang Arom"
"V.O. Net Biodiesel Asia",Solar,Operational,1.2,,Thailand,"V.O. Net Biodiesel Asia",,,," ",Thailand,Kalasin,"Yang Talat"
"V.P. Farms Pig Manure Methanisation",Waste,Unknown,0.71,,Thailand,"Foxsys Co. Ltd",Austria,"Kommunalkredit Public Consulting GmbH; ETS GmbH",," ",Thailand,"Chiang Mai","Mae Rim"
"Vajiralongkorn Dam",Hydro,Operational,300,1985,Thailand,EGAT,,,Thailand,EGAT,Thailand,Kanchanaburi,"Thong Pha Phum"
"Van Chan",Hydro,Operational,57,,Vietnam,"Van Chan Hydropower JSC",,,," ",Vietnam,"Yên Bái","Văn Chấn"
"Van Phong 1 (Nhà máy Nhiệt điện BOT Vân Phong 1)",Coal,"Under Construction",1320,2023,Japan,"Sumitomo Corporation","Japan; Singapore; China","JBIC, Sumitomo Mitsui Banking Corp, MUFG Bank, Ltd., Mizuho Bank, Ltd., Sumitomo Mitsui Trust Bank, Limited, Oversea-Chinese Banking Corp., DBS Bank Ltd., Bank of China",," ",Vietnam,"Khánh Hòa","Ninh Hòa"
"Van Phong 2",Coal,Cancelled,1320,2020,"South Korea; Vietnam","Keangnam Enterprises, Hanoi Industrial Construction and Investment JSC",,,," ",Vietnam,"Khánh Hòa","Ninh Hòa"
"Vedan Vietnam Cogeneration power station",Coal,Operational,60,2015,Vietnam,"Vedan Vietnam Joint Stock Company",,,," ",Vietnam,"Đồng Nai","Long Thành"
"VG Energy's Waste to Power",Waste,Unknown,2.83,,Thailand,"VG Energy Co. Ltd.","United Kingdom","Barclays Bank PLC",," ",Thailand,Chumphon,"Muang Chumphon"
"VG Energy's Waste to Power",Waste,Unknown,5.6,,Thailand,"VG Energy Co. Ltd.","United Kingdom","Barclays Bank PLC",," ",Thailand,Chumphon,"Tha Sae"
"Vietnam Solar Rooftop Projects",Solar,Operational,9583,2021,,,,,,,Vietnam,"Bình Định","Tây Sơn"
"Vinh Ha",Hydro,Operational,,2016,,,,,China,"China Energy Engineering Group Guangxi (China), Electric Power Design Institute Co., Ltd (China)",Vietnam,"Lào Cai","Bảo Yên"
"Vinh Hao (Nhà máy điện mặt tròi Vinh Hảo)",Solar,Operational,50,2019,Vietnam,"CTCP Điện mặt tròi Vĩnh Hảo",,,Vietnam,"Vu Phong Solar",Vietnam,"Bình Thuận","Tuy Phong"
"Vinh Hao 6 (Nhà máy điện mặt trời Vĩnh Hảo 6 - 60 ha)",Solar,Operational,50,2019,"Vietnam; Saudi Arabia","FECON JSC, Acwa Power",Vietnam,"HD Bank",China,Chint,Vietnam,"Bình Thuận","Tuy Phong"
"Vinh Son",Hydro,Operational,66,2001,Vietnam,"EVN, Vinh Son-Song Hinh Hydropower JSC",,,," ",Vietnam,"Bình Định","Vĩnh Thạnh"
"Vinh Son 5",Hydro,Operational,28,2014,Vietnam,"Vinh Son Hydropower Investment JSC",,,," ",Vietnam,"Bình Định","Vĩnh Thạnh"
"Vinh Tan 1 (Nhà máy Nhiệt điện Vĩnh Tân 1)",Coal,Operational,1200,2018,"China; Vietnam","Southern Power (50 PCT), China Power International Development Company (45 PCT), and Vinacomin (5 PCT)","China; ADB","ADB; Export-Import Bank of China; China Export & Credit Insurance Corporation (Sinosure); and China Development Bank",China,"China Power International Development Company",Vietnam,"Bình Thuận","Tuy Phong"
"Vinh Tan 1 (Nhà máy điện mặt trời Vĩnh Tân)",Solar,Operational,6,2019,,,,,," ",Vietnam,"Bình Thuận","Tuy Phong"
"Vinh Tan 2 (Nhà máy Nhiệt điện Vĩnh Tân 2)",Coal,Operational,1245,2014,Vietnam,EVN,"China; Vietnam","China Exim Bank (China); Vietnam Development Bank (Vietnam)",China,"Shanghai Electric Group (China)(EPC)",Vietnam,"Bình Thuận","Tuy Phong"
"Vinh Tan 2 (Nhà máy điện mặt trời Vĩnh Tân 2) 49.2 ha",Solar,Operational,6,2019,,,,,," ",Vietnam,"Bình Thuận","Tuy Phong"
"Vinh Tan 3 (Nhà máy Nhiệt điện Vĩnh Tân 3)",Coal,"Under Construction",1980,2024,"Hong Kong, China; Vietnam","OneEnergy, Electricity Vietnam",China,"China Development Bank & CLP Holdings, Industrial and Commercial Bank of China",China,"Harbin Electric",Vietnam,"Bình Thuận","Tuy Phong"
"Vinh Tan 4 + Extension (Nhà máy Nhiệt điện Vĩnh Tân 4 mở rộng)",Coal,Operational,1800,2019,Vietnam,EVN,"South Korea; Japan","Korea EXIM bank (Korea); Japan Bank of International Cooperation (Japan)","Japan; South Korea","Mitsubishi (Japan) and Doosan Heavy Industries (South Korea)(EPC)",Vietnam,"Bình Thuận","Tuy Phong"
"VNECO Vinh Long",Solar,Operational,49.3,2020,Vietnam,"BCG Energy",,,,,Vietnam,"Vĩnh Long","Long Hồ"
"VNT (Nhà máy điện mặt trời VNT)",Solar,Planned,600,2020,Vietnam,"Công ty cổ phần đầu tư xây dựng Vịnh Nha Trang",,,," ",Vietnam,"Đồng Nai","Vĩnh Cửu"
"Vung Ang 1",Coal,Operational,1200,2014,Vietnam,"Petrovietnam (Tập đoàn Dầu khí)",,,Vietnam,"Liliama Corporation (Vietnam)",Vietnam,"Hà Tĩnh","Kỳ Anh (Thị xã)"
"Vung Ang 2",Coal,Planned,1200,2023,"Hong Kong, China; Japan; South Korea","OneEnergy, Korea Electic Power Corporation, Chugoku Electric Power","Japan; South Korea","JBIC, Mizuho Financial Group, Mitsubishi UFJ Financial Group, Sumitomo Mitsui Financial Group, Export-Import Bank of Korea",," ",Vietnam,"Hà Tĩnh","Kỳ Anh (Thị xã)"
"Vung Ang 3, Towers 1-2",Coal,Planned,1200,2031,"South Korea","Samsung C&T Corporation",,,"South Korea","Samsung (South Korea)",Vietnam,"Hà Tĩnh","Kỳ Anh (Thị xã)"
"Vung Ang 3, towers 3-4",Coal,Planned,1200,2031,Vietnam,"Petrovietnam (Tập đoàn Dầu khí)",,,," ",Vietnam,"Hà Tĩnh","Kỳ Anh (Thị xã)"
"W2E Siang Phong Biogas",Waste,Operational,2,2011,Cambodia,"W2E Siang Phong Ltd",,,," ",Cambodia,"Tbong Khmum","Ponhea Kraek"
"Wang Chin",Geothermal,Operational,1,,Thailand,EGAT,,,," ",Thailand,Phrae,"Wang Chin"
"Wang Luek Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV10 Project",,,," ",Thailand,"Suphan Buri","Sam Chuk"
"Wang Man 1 Solar Power Plant",Solar,Operational,10.2,,Singapore,"Soleq Private Limited",,,," ",Thailand,Tak,"Sam Ngao"
"Wang Man 2 Solar Power Plant",Solar,Operational,10.2,,Singapore,"Soleq Private Limited",,,," ",Thailand,Tak,"Sam Ngao"
"Wang Noi",Gas,Operational,2660,2014,Thailand,EGAT,,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Wang Noi"
"Wang Noi",Gas,Operational,2027,,Thailand,"Electric Generating Authority of Thailand",Thailand,"Electric Generating Authority of Thailand",Thailand,"Electric Generating Authority of Thailand",Thailand,"Phra Nakhon Si Ayutthaya","Wang Noi"
"Wang Noi Power Plant",Gas,Operational,2660,2014,Thailand,EGAT,,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Wang Noi"
"Wang Phloeng Solar Power Plant",Solar,Operational,8,,Thailand,"Natural Energy Development Co Ltd (NED)",ADB,ADB,," ",Thailand,"Lop Buri","Khok Samrong"
"Wang Sala Plant",Coal,Operational,34,2017,Thailand,"Thai Kraft Paper Industry",,,," ",Thailand,Kanchanaburi,"Tha Muang"
"Waste Water and Root Cake to Energy at P.V.D.",Waste,Unknown,3.6,,Thailand,"Carbon Energy Co., Ltd. (P.V.D. International Co. Ltd.)",,,," ",Thailand,"Nakhon Ratchasima","Khon Buri"
"Waste Water and Root Cake to Energy project",Waste,Unknown,4.2,2012,Thailand,"Carbon Entity Co., Ltd.",,,," ",Thailand,Chanthaburi,Soydow
"Wastewater treatment at P.V.D. International",Waste,Unknown,2.856,,Thailand,"P.V.D. International Co. Ltd.",,,Denmark,"Ministry of Climate and Energy",Thailand,"Nakhon Ratchasima","Nong Bunnak"
"Wastewater treatment facility in K.S. Bio-Plus Co. Ltd",Waste,Unknown,3.816,,Thailand,"K.S. Bio-Plus Co. Ltd",,,Denmark,"Danish Ministry of Climate and Energy",Thailand,Kalasin,"Huai Phung"
"Wastewater Treatment Project at Thaindo Palm Oil Factory",Waste,Unknown,1,,Thailand,"Thaindo Palm Oil Factory Co, Ltd.",,,"United Kingdom","EDF Trading Ltd.",Thailand,Krabi,"Lam Thap"
"Wastewater Treatment with Biogas System (AFFR)",Waste,Unknown,,,Thailand,"Sima Interproduct Co. Ltd.",,,Denmark,"Ministry of Climate and Energy",Thailand,Chachoengsao,"Phanom Sarakham"
"Wastewater Treatment with Biogas System (UASB)",Waste,Unknown,,,Thailand,"Sima Interproduct Co. Ltd.",,,Denmark,"Ministry of Climate and Energy",Thailand,"Nakhon Ratchasima","Muang Nakhon Ratchasima"
"Wastewater Treatment with Biogas System in Palm Oil Mill",Waste,Unknown,1,,Thailand,"Thai Tallow and Oil Co. Ltd.",,,Denmark,"Ministry of Climate and Energy",Thailand,"Surat Thani",Prasaeng
"Wastewater Treatment with Biogas System in Palm Oil Mill",Waste,Unknown,1,,Thailand,"Thai Tallow and Oil Co. Ltd.",,,Denmark,"Ministry of Climate and Energy",Thailand,"Surat Thani",Prasaeng
"Wastewater Treatment with Biogas System in Palm Oil Mill",Waste,Unknown,1,,Thailand,"S.P.O. Agro-Industries",,,Denmark,"Ministry of Climate and Energy",Thailand,"Surat Thani",Prasaeng
"Wastewater Treatment with Biogas System in Palm Oil Mill",Waste,Unknown,1,,Thailand,"OTACO Co. Ltd.",,,Denmark,"Ministry of Climate and Energy",Thailand,Trang,Sikao
"Wastewater Treatment with Biogas System in Palm Oil Mill",Waste,Unknown,1,,Thailand,"Saengsiri Agro-Industries Co. Ltd.",,,Denmark,"Ministry of Climate and Energy",Thailand,"Surat Thani",Kanchanadit
"Wayu Wind Farm",Wind,Operational,50,2018,Thailand,"Wind Energy Development Co., Ltd",,,," ",Thailand,"Nakhon Ratchasima","Dan Khun Thot"
Weigyi,Hydro,Cancelled,4000,,"Thailand; Myanmar","MEPE, EGAT",Thailand,"Thai Banks (Thailand)",China,"Power Construction Corp, China Corporation; China Southern Power Grid Company and China Three Gorges Project Corporation (China)",Myanmar,Kayah,Bawlake
"West Huaybong 2 (Korat Wind Farm)",Wind,Operational,103.5,2013,"Thailand; Japan","K.R. Two Co., Wind Energy Holding Co., Ratchaburi Electricity Generating Holding Public Co., Chubu Electric Power Korat BV",,,"France; Germany; Denmark","EDF Trading Ltd., Max Bögl Wind AG, Siemens Wind Power",Thailand,"Nakhon Ratchasima","Dan Khun Thot"
"West Huaybong 3 (Korat Wind Farm)",Wind,Operational,103.5,2013,"Thailand; Japan","First Korat Wind Co., Wind Energy Holding Co., Ratchaburi Electricity Generating Holding Public Co., Chubu Electric Power Korat BV",,,"France; Germany; Denmark","EDF Trading Ltd., Max Bögl Wind AG , Siemens Wind Power",Thailand,"Nakhon Ratchasima","Dan Khun Thot"
"Wiang Pa Pao",Geothermal,Operational,1,,Thailand,EGAT,,,," ",Thailand,"Chiang Rai","Wiang Pa Pao"
"Wichian Buri Solar Power Plant",Solar,Operational,8,,"Thailand; Japan","Gunkul Chubu Powergen Company Limited",,,," ",Thailand,Phetchabun,"Wichian Buri"
"Win Energy (nhà máy Điện gió Win Energy Chiến Thắng)",Wind,"Under Construction",50,2020,Vietnam,"Công ty TNHH Điện gió Chính Thắng",,,," ",Vietnam,"Ninh Thuận","Ninh Phước"
Wunonglong,Hydro,Operational,990,2018,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Dêqên Tibetan"
"Wutsok (Wusauk)",Hydro,Postponed,1800,2030,China,"State Power Investment Corporation",,,," ",Myanmar,Kachin,Myitkyina
"Xaladnoi Dam and Sapatan Torn Lum",Hydro,Planned,5,,"South Africa","Lalita Energy Company Ltd",,,," ",Laos,Khammouan,Hinboon
"Xapatan Noi Dam Ban Talad",Hydro,Planned,5,,Thailand,"Impangg Group Company Ltd",,,," ",Laos,Khammouan,Nhommalath
Xayaburi,Hydro,Operational,1285,2019,"Thailand; Laos","Sikarnxangmatalim Company 30 PCT,  Natee Synergy 25 PCT, EDL 20 PCT, Electricity Generating Public 12.5 PCT, Bangkok Expressway Public 7.5 PCT , PT Construction 5 PCT",Thailand,"Kasikorn Bank (Thailand); Bangkok Bank (Thailand); Krungthai Bank Pcl (Thailand); Siam Commercial Bank Pcl (Thailand)",China,"Ch Karnchang PLC",Laos,Xaignabouri,Xayabury
"Xaybanghieng 1",Hydro,Planned,60,,China,"China International Water and Electric Co.",,,," ",Laos,Savannakhét,Thapangthong
"Xaybanghieng 2",Hydro,Planned,90,,China,"China International Water and Electric Co.",,,," ",Laos,Savannakhét,Sepone
Xaybangtrongtonteng,Hydro,Planned,10,,,,,,," ",Thailand,Mukdahan,"Muang Mukdahan"
Xaydome,Hydro,Planned,20,,Laos,"State Electricity Enterprises of Laos",,,," ",Laos,Saravan,Saravane
"Xayladnoi Dam Baan Tangyalom",Hydro,Planned,14,,Thailand,"ST-ST Kamta Company Ltd",,,," ",Laos,Khammouan,Nhommalath
"Xaylalong 2",Hydro,Planned,35,,China,"China Gezhouba Group Company, Ltd.",,,," ",Laos,Saravan,"Ta Oi"
"Xaylamong III",Hydro,Planned,5,,Thailand,"Patanasatien Luisorn Company Ltd",,,," ",Laos,Attapu,Xaysetha
"Xaylangi Point 1",Hydro,Planned,5,,,,,,," ",Laos,Savannakhét,Khanthabouly
"Xaylangi Point 2",Hydro,Planned,2,,,,,,," ",Laos,Savannakhét,Khanthabouly
"Xaylangi Point 3",Hydro,Planned,2,,,,,,," ",Laos,Savannakhét,Khanthabouly
"Xaynamkok Point 1",Hydro,Planned,15,,,,,,," ",Laos,Savannakhét,Khanthabouly
"Xaynamkok Point 2",Hydro,Planned,6,,,,,,," ",Laos,Savannakhét,Khanthabouly
Xaynamnoi,Hydro,"Under Construction",5,2019,Thailand,"Phongsapthawi Construction",,,," ",Laos,Champasak,Paksong
"Xaynampam 1, 2",Hydro,Planned,5,,Laos,"Vientiane Automation Company",,,," ",Laos,Attapu,Xaysetha
"Xaypome 3",Hydro,Planned,45,,"South Korea; Laos","State Electricity Enterprises of Laos, Korea Water Resource Cooperation",,,," ",Laos,Saravan,Saravane
Xayprom-Huayhuayjod,Hydro,Planned,18,,Australia,"CLM & LEADER Intrastructure Company Ltd",,,," ",Laos,Champasak,Paksong
Xaypromtornlum,Hydro,Planned,14.8,,Thailand,"Samluang-Serdsaid Company",,,," ",Laos,Attapu,Xaysetha
"Xayserd 4",Hydro,Planned,10,,Laos,EDL,,,," ",Laos,Champasak,Paksong
Xaytampamtornteng,Hydro,Planned,12,,Australia,"CLM & LEADER Infrastructure Company Ltd",,,," ",Laos,Champasak,Paksong
"Xe Bang Fai",Hydro,Planned,110,,"Thailand; Laos","Mitr Phol Corp., Ltd, Laosamay Road Bridge Construction Co.",,,," ",Laos,Khammouan,Xebangfay
"Xe Bang Nouang",Hydro,Planned,18,2032,,,,,," ",Laos,Saravan,Vapy
"Xe Kaman 4A",Hydro,Planned,96,,,,,,," ",Laos,Xékong,Dakcheung
"Xe Katam",Hydro,Planned,81.3,,,,,,," ",Laos,Champasak,Paksong
"Xe Lanong",Hydro,Planned,70,,"China; Myanmar; Thailand; Laos","YEIG International Development 70 PCT, Daosawan Group 25 PCT, Sun Paper Holding 5 PCT",,,China,"Yunnan Energy Investment Group (China)",Laos,Savannakhét,Nong
"Xe Lanong 1",Hydro,Operational,60,2020,"China; Laos","Sunpaper Holding Lao Co, Ltd, Daosavanh Investment and Construction Group",China,"Yunnan Energy Investment Group (China)",," ",Laos,Savannakhét,Phine
"Xe Lanong 2",Hydro,Planned,35,,China,"China Gezhouba Group Co.",,,," ",Laos,Savannakhét,Nong
"Xe Lanong 3 (Ban Tang Oen)",Hydro,Planned,80,,Laos,"Simuong Group Co Ltd.",,,," ",Laos,Saravan,"Ta Oi"
"Xe Nam Noy 1",Hydro,Operational,14.8,2014,Laos,"Chaleun Sekong Company",,,," ",Laos,Attapu,Xaysetha
"Xe Nam Noy 2-Xe Katam 1",Hydro,"Under Construction",19.8,,"Laos; Thailand","Xe Namnoy and Xe Katam Hydropower Co., joint venture between SV Group and B. Grimm Power Pcl",,,," ",Laos,Champasak,Paksong
"Xe Nam Noy 5",Hydro,Planned,20,2022,,,,,," ",Laos,Attapu,Xaysetha
"Xe Nam Noy 6",Hydro,Operational,5,2015,Laos,"Chaleun Sekong",,,," ",Laos,Champasak,Paksong
"Xe Neua",Hydro,Planned,53,,,,,,," ",Laos,Khammouan,Bualapha
"Xe Pian-Xe Namnoy",Hydro,Operational,410,2020,"South Korea; Thailand; Laos","Xe-Pian Xe-Namnoy Power Co. Ltd.: SK Engineering 26 PCT, Korea Western Power 25 PCT, Ratchaburi 25 PCT, Lao Holding State Enterprise 24 PCT","Thailand; South Korea","Korean Economic Development Cooperation Fund (South Korea); Krungthai Bank (Thailand); Thanachart Bank (Thailand); Export-Import Bank of Thailand (Thailand)","South Korea; France","SK Engineering (South Korea), Tractabel ENGIE (France)",Laos,Champasak,Paksong
"Xe Pon 3",Hydro,Planned,47.6,2020,,,,,," ",Laos,Saravan,Samuoi
"Xe Xou",Hydro,Planned,30,2022,Vietnam,"Hoang Anh Gai Lai Mineral Joint Stock Company",,,," ",Laos,Attapu,Xaysetha
"Xedon 2",Hydro,Planned,54,2021,,,,,," ",Laos,Saravan,Vapy
"Xekaman 1",Hydro,Operational,290,2016,"Vietnam; Laos","Viet-Lao Power Joint Stock Company 70-85 PCT, EDL 15-30 PCT",Vietnam,"Bank for Investment and Development of Vietnam (Vietnam)",Vietnam,"Song Da Corp",Laos,Attapu,Sanxay
"Xekaman 2A",Hydro,Planned,30,,"China; Laos","EDL, China International Water & Electric Corp",,,," ",Laos,Xékong,Dakcheung
"Xekaman 2B",Hydro,Planned,180,,"China; Laos","EDL and China International Water & Electric Corp",,,," ",Laos,Xékong,Dakcheung
"Xekaman 3",Hydro,Operational,250,2013,"Vietnam; Laos","Viet-Lao Power Joint Stock Company 85 PCT and EDL 15 PCT",Vietnam,"Vietnam Development Bank (Vietnam)",Vietnam,"Song Da General Construction Company (Vietnam)",Laos,Xékong,Dakcheung
"Xekaman 4",Hydro,Planned,80,,"Vietnam; Laos","Viet-Lao Power Joint Stock Company and EDL",Vietnam,"Bank for Investment and Development of Vietnam (Vietnam)",," ",Laos,Attapu,Xaysetha
